356,356,487,3499,6083,3897,1621
357,357,5521,8984,3531,9616,542
358,358,4482,7497,8207,3753,5505
359,359,9874,3131,7380,5929,8620
360,360,2701,5021,4386,10620,4887
361,361,889,574,1420,3585,2149
362,362,5117,9064,9191,11104,5378
363,363,1044,4893,203,5395,2816
364,364,1811,7438,1285,10390,4502
365,365,5829,8244,7829,3202,2410
366,366,2068,11013,9314,8998,8894
367,367,7502,6383,6122,2752,8479
368,368,2127,8512,1477,2945,7948
369,369,8096,9027,10077,1256,429
370,370,1312,10157,2082,81,2838
371,371,10177,3285,9001,10516,9516
372,372,8645,276,2226,326,5898
373,373,4552,5069,1962,94,6264
374,374,323,1572,267,568,3866
375,10497,9331,9437,10917,11027,10138
376,376,10994,5449,3459,4046,4946
377,377,867,3111,3790,10529,9705
378,378,9120,9884,9998,3300,1968
379,379,7592,7091,5639,9493,4198
380,380,3390,10371,1507,8313,2868
381,381,8172,2343,3387,2748,5509
382,382,3224,856,3299,5908,8049
383,383,3635,3623,4667,1212,8583
384,384,4994,1840,2856,7935,64
385,385,2715,9896,1778,9573,6938
386,386,3715,7731,6606,10476,9143
387,387,886,1209,2020,2371,6955
388,388,7367,2212,7290,1366,7110
389,389,2514,9183,4381,9716,9135
390,390,825,4816,1376,8714,9869
391,391,11118,2992,10407,9781,2504
392,392,4270,10104,6226,7862,74
393,8773,393,10922,1362,509,8840
394,394,1561,1448,9948,1024,8195
395,395,1368,794,10748,8135,1857
